TF,target,importance,corr_sign,signed_importance,validated
TNFRSF25,PRDM13,0.3685669263870669,-1.0,-0.3685669263870669,False
TNFRSF4,APOL2,0.3685002678707488,1.0,0.3685002678707488,False
APOBEC3C,TNFRSF25,0.3679814264102903,-1.0,-0.3679814264102903,False
CD27,CBY1,0.3671821738589781,1.0,0.3671821738589781,False
TAGAP,TNFRSF9,0.3648156219600746,1.0,0.3648156219600746,True
ICOS,ABCB10,0.360704590595738,1.0,0.360704590595738,False
TNFRSF25,TNFRSF12A,0.3604676476230999,1.0,0.3604676476230999,False
TNFRSF8,NLRC3,0.3602982734711957,-1.0,-0.3602982734711957,False
ICOS,IL2RG,0.3602542384510162,-1.0,-0.3602542384510162,False
CD2,ZEB2,0.3595491429639972,1.0,0.3595491429639972,False
EMP1,CD40,0.3584880059311293,-1.0,-0.3584880059311293,False
TNFRSF18,DEF6,0.3583104839287156,-1.0,-0.3583104839287156,False
CD28,CNR2,0.3562521005821193,1.0,0.3562521005821193,False
ICOS,FOXD2,0.3557443931473205,-1.0,-0.3557443931473205,False
TNFRSF9,BATF,0.354218072868606,1.0,0.354218072868606,False
ICOS,GATA3,0.3539575022731672,1.0,0.3539575022731672,False
TNFRSF25,IKZF3,0.3535953279791207,-1.0,-0.3535953279791207,False
CD226,TNFRSF1A,0.3531624323976463,1.0,0.3531624323976463,False
CD226,SLA2,0.3523136849814329,1.0,0.3523136849814329,False
TNFRSF9,FOSB,0.3522659149789159,1.0,0.3522659149789159,False
CD2,VAV1,0.3514660300621999,1.0,0.3514660300621999,False
CD247,ICOS,0.3514621057107477,-1.0,-0.3514621057107477,True
CD27,EMP1,0.3469477529766238,-1.0,-0.3469477529766238,False
PRKD2,TNFRSF8,0.3463303386235771,1.0,0.3463303386235771,True
ICOS,CD247,0.3462626811299379,-1.0,-0.3462626811299379,False
TNFRSF8,TRIM21,0.3449612872296011,-1.0,-0.3449612872296011,False
IL2RB,TNFRSF4,0.3447091798998795,1.0,0.3447091798998795,True
TNFRSF18,TNF,0.3432662339384541,1.0,0.3432662339384541,False
IL2RG,CD40,0.3419225821623379,-1.0,-0.3419225821623379,False
APOBEC3D,TNFRSF25,0.3406798690330695,1.0,0.3406798690330695,True
LCP2,TNFRSF25,0.3401812520805791,1.0,0.3401812520805791,False
CD28,TNFRSF12A,0.3383426207112348,-1.0,-0.3383426207112348,False
CD28,OTUD7A,0.3374280341854154,-1.0,-0.3374280341854154,False
CD226,RAC2,0.3353434594413862,1.0,0.3353434594413862,False
ZEB2,CD40,0.3345235491714207,-1.0,-0.3345235491714207,False
ICOS,GZMB,0.3332895847190009,1.0,0.3332895847190009,False
TNFRSF1B,TNFRSF18,0.3330630404794221,1.0,0.3330630404794221,False
LAT,TNFRSF25,0.3329078778415391,1.0,0.3329078778415391,False
GATA3,CD40,0.3320884294344496,-1.0,-0.3320884294344496,False
PLCG2,CD2,0.3310165893166084,1.0,0.3310165893166084,True
CD40,TRAF3IP2,0.3300340558766402,1.0,0.3300340558766402,False
TNFRSF9,CCL4,0.3282074825620831,1.0,0.3282074825620831,True
TNFRSF4,CNR2,0.3281204978197723,-1.0,-0.3281204978197723,False
TNFRSF18,TCF7,0.327631871109774,-1.0,-0.327631871109774,False
CD226,LAT2,0.3266513622982813,-1.0,-0.3266513622982813,False
TNFRSF14,RELA,0.3261392139085775,-1.0,-0.3261392139085775,False
TNFRSF9,GZMB,0.3250889394297793,1.0,0.3250889394297793,False
TNFRSF8,CD247,0.3239504071059691,-1.0,-0.3239504071059691,False
TNFRSF14,PLCG2,0.3219042966620799,1.0,0.3219042966620799,False
TNFRSF4,LAT2,0.3213081699780207,-1.0,-0.3213081699780207,False
CD28,PLCG2,0.3185815190564783,1.0,0.3185815190564783,True
TNFRSF1B,CD27,0.318219787063753,-1.0,-0.318219787063753,False
CD2,TNFRSF25,0.317793621789424,1.0,0.317793621789424,False
CD2,TCF7,0.3159688882068221,-1.0,-0.3159688882068221,False
